datetime(kst),location,state1,state2,count
2020-02-28 16:00:00,강원,확진,격리중,7
2020-02-28 16:00:00,강원,확진,격리해제,0
2020-02-28 16:00:00,강원,확진,사망,0
2020-02-28 16:00:00,강원,검사현황,검사중,485
2020-02-28 16:00:00,강원,검사현황,결과음성,1754
2020-02-28 16:00:00,충북,확진,격리중,9
2020-02-28 16:00:00,충북,확진,격리해제,0
2020-02-28 16:00:00,충북,확진,사망,0
2020-02-28 16:00:00,충북,검사현황,검사중,776
2020-02-28 16:00:00,충북,검사현황,결과음성,1896
2020-02-28 16:00:00,충남,확진,격리중,35
2020-02-28 16:00:00,충남,확진,격리해제,0
2020-02-28 16:00:00,충남,확진,사망,0
2020-02-28 16:00:00,충남,검사현황,검사중,1821
2020-02-28 16:00:00,충남,검사현황,결과음성,1554
2020-02-28 16:00:00,전북,확진,격리중,4
2020-02-28 16:00:00,전북,확진,격리해제,1
2020-02-28 16:00:00,전북,확진,사망,0
2020-02-28 16:00:00,전북,검사현황,검사중,343
2020-02-28 16:00:00,전북,검사현황,결과음성,848
2020-02-28 16:00:00,전남,확진,격리중,0
2020-02-28 16:00:00,전남,확진,격리해제,1
2020-02-28 16:00:00,전남,확진,사망,0
2020-02-28 16:00:00,전남,검사현황,검사중,671
2020-02-28 16:00:00,전남,검사현황,결과음성,1371
2020-02-28 16:00:00,경북,확진,격리중,401
2020-02-28 16:00:00,경북,확진,격리해제,0
2020-02-28 16:00:00,경북,확진,사망,8
2020-02-28 16:00:00,경북,검사현황,검사중,3594
2020-02-28 16:00:00,경북,검사현황,결과음성,3189
2020-02-28 16:00:00,경남,확진,격리중,49
2020-02-28 16:00:00,경남,확진,격리해제,0
2020-02-28 16:00:00,경남,확진,사망,0
2020-02-28 16:00:00,경남,검사현황,검사중,1277
2020-02-28 16:00:00,경남,검사현황,결과음성,2319
2020-02-28 16:00:00,제주,확진,격리중,2
2020-02-28 16:00:00,제주,확진,격리해제,0
2020-02-28 16:00:00,제주,확진,사망,0
2020-02-28 16:00:00,제주,검사현황,검사중,181
2020-02-28 16:00:00,제주,검사현황,결과음성,631
2020-02-28 16:00:00,검역,확진,격리중,0
2020-02-28 16:00:00,검역,확진,격리해제,0
2020-02-28 16:00:00,검역,확진,사망,0
2020-02-28 16:00:00,검역,검사현황,검사중,0
2020-02-28 16:00:00,검역,검사현황,결과음성,522
2020-02-29 16:00:00,서울,확진,격리중,66
2020-02-29 16:00:00,서울,확진,격리해제,11
2020-02-29 16:00:00,서울,확진,사망,0
2020-02-29 16:00:00,서울,검사현황,검사중,5735
2020-02-29 16:00:00,서울,검사현황,결과음성,11042
2020-02-29 16:00:00,부산,확진,격리중,80
2020-02-29 16:00:00,부산,확진,격리해제,0
2020-02-29 16:00:00,부산,확진,사망,0
2020-02-29 16:00:00,부산,검사현황,검사중,2801
2020-02-29 16:00:00,부산,검사현황,결과음성,3686
2020-02-29 16:00:00,대구,확진,격리중,2224
2020-02-29 16:00:00,대구,확진,격리해제,4
2020-02-29 16:00:00,대구,확진,사망,8
2020-02-29 16:00:00,대구,검사현황,검사중,5605
2020-02-29 16:00:00,대구,검사현황,결과음성,4129
2020-02-29 16:00:00,인천,확진,격리중,5
2020-02-29 16:00:00,인천,확진,격리해제,1
2020-02-29 16:00:00,인천,확진,사망,0
2020-02-29 16:00:00,인천,검사현황,검사중,1173
2020-02-29 16:00:00,인천,검사현황,결과음성,3644
2020-02-29 16:00:00,광주,확진,격리중,7
2020-02-29 16:00:00,광주,확진,격리해제,2
2020-02-29 16:00:00,광주,확진,사망,0
2020-02-29 16:00:00,광주,검사현황,검사중,642
2020-02-29 16:00:00,광주,검사현황,결과음성,719
2020-02-29 16:00:00,대전,확진,격리중,13
2020-02-29 16:00:00,대전,확진,격리해제,0
2020-02-29 16:00:00,대전,확진,사망,0
2020-02-29 16:00:00,대전,검사현황,검사중,1206
2020-02-29 16:00:00,대전,검사현황,결과음성,1632
2020-02-29 16:00:00,울산,확진,격리중,17
2020-02-29 16:00:00,울산,확진,격리해제,0
2020-02-29 16:00:00,울산,확진,사망,0
2020-02-29 16:00:00,울산,검사현황,검사중,522
2020-02-29 16:00:00,울산,검사현황,결과음성,1584
2020-02-29 16:00:00,세종,확진,격리중,1
2020-02-29 16:00:00,세종,확진,격리해제,0
2020-02-29 16:00:00,세종,확진,사망,0
2020-02-29 16:00:00,세종,검사현황,검사중,268
2020-02-29 16:00:00,세종,검사현황,결과음성,60
2020-02-29 16:00:00,경기,확진,격리중,73
2020-02-29 16:00:00,경기,확진,격리해제,8
2020-02-29 16:00:00,경기,확진,사망,1
2020-02-29 16:00:00,경기,검사현황,검사중,5957
2020-02-29 16:00:00,경기,검사현황,결과음성,12810
2020-02-29 16:00:00,강원,확진,격리중,7
2020-02-29 16:00:00,강원,확진,격리해제,0
2020-02-29 16:00:00,강원,확진,사망,0
2020-02-29 16:00:00,강원,검사현황,검사중,758
2020-02-29 16:00:00,강원,검사현황,결과음성,2055
2020-02-29 16:00:00,충북,확진,격리중,10
2020-02-29 16:00:00,충북,확진,격리해제,0
2020-02-29 16:00:00,충북,확진,사망,0
2020-02-29 16:00:00,충북,검사현황,검사중,908
2020-02-29 16:00:00,충북,검사현황,결과음성,2152
2020-02-29 16:00:00,충남,확진,격리중,55
2020-02-29 16:00:00,충남,확진,격리해제,0
2020-02-29 16:00:00,충남,확진,사망,0
